,Zero Values,Missing Values,% of Total Values,Total Zero Missing Values,% Total Zero Missing Values
Close_ATVI,0,0,0.0,0,0.0
Volume_ATVI,58,0,0.0,58,0.864897107068297
Close_ADBE,0,0,0.0,0,0.0
Volume_ADBE,0,0,0.0,0,0.0
Close_AMD,0,0,0.0,0,0.0
Volume_AMD,1,0,0.0,1,0.014912019087384432
Close_ALXN,0,592,8.827915299731584,592,8.827915299731584
Volume_ALXN,1,592,8.827915299731584,593,8.842827318818967
Close_ALGN,0,1834,27.34864300626305,1834,27.34864300626305
Volume_ALGN,0,1834,27.34864300626305,1834,27.34864300626305
Close_GOOG,0,2725,40.635252013122575,2725,40.635252013122575
Volume_GOOG,0,2725,40.635252013122575,2725,40.635252013122575
Close_AMZN,0,899,13.405905159558603,899,13.405905159558603
Volume_AMZN,0,899,13.405905159558603,899,13.405905159558603
Close_AMGN,0,0,0.0,0,0.0
Volume_AMGN,0,0,0.0,0,0.0
Close_ADI,0,0,0.0,0,0.0
Volume_ADI,0,0,0.0,0,0.0
Close_ANSS,0,671,10.005964807634953,671,10.005964807634953
Volume_ANSS,4,671,10.005964807634953,675,10.06561288398449
Close_AAPL,0,0,0.0,0,0.0
Volume_AAPL,0,0,0.0,0,0.0
Close_AMAT,0,0,0.0,0,0.0
Volume_AMAT,0,0,0.0,0,0.0
Close_ASML,0,350,5.219206680584551,350,5.219206680584551
Volume_ASML,0,350,5.219206680584551,350,5.219206680584551
Close_ADSK,0,0,0.0,0,0.0
Volume_ADSK,0,0,0.0,0,0.0
Close_ADP,0,0,0.0,0,0.0
Volume_ADP,0,0,0.0,0,0.0
Close_BIDU,0,2968,44.258872651356995,2968,44.258872651356995
Volume_BIDU,0,2968,44.258872651356995,2968,44.258872651356995
Close_BIIB,0,0,0.0,0,0.0
Volume_BIIB,4,0,0.0,4,0.059648076349537726
Close_BMRN,0,1451,21.63733969579481,1451,21.63733969579481
Volume_BMRN,2,1451,21.63733969579481,1453,21.66716373396958
Close_BKNG,0,1371,20.444378168804057,1371,20.444378168804057
Volume_BKNG,0,1371,20.444378168804057,1371,20.444378168804057
Close_AVGO,0,3975,59.27527587235312,3975,59.27527587235312
Volume_AVGO,0,3975,59.27527587235312,3975,59.27527587235312
Close_CDNS,0,0,0.0,0,0.0
Volume_CDNS,0,0,0.0,0,0.0
Close_CDW,0,4954,73.87414255890248,4954,73.87414255890248
Volume_CDW,0,4954,73.87414255890248,4954,73.87414255890248
Close_CERN,0,0,0.0,0,0.0
Volume_CERN,0,0,0.0,0,0.0
Close_CHTR,0,4079,60.8261258574411,4079,60.8261258574411
Volume_CHTR,18,4079,60.8261258574411,4097,61.094542201014015
Close_CHKP,0,677,10.09543692215926,677,10.09543692215926
Volume_CHKP,0,677,10.09543692215926,677,10.09543692215926
Close_CTAS,0,0,0.0,0,0.0
Volume_CTAS,0,0,0.0,0,0.0
Close_CSCO,0,0,0.0,0,0.0
Volume_CSCO,0,0,0.0,0,0.0
Close_CTXS,0,537,8.00775424992544,537,8.00775424992544
Volume_CTXS,0,537,8.00775424992544,537,8.00775424992544
Close_CTSH,0,1175,17.521622427676707,1175,17.521622427676707
Volume_CTSH,0,1175,17.521622427676707,1175,17.521622427676707
Close_CMCSA,0,0,0.0,0,0.0
Volume_CMCSA,0,0,0.0,0,0.0
Close_CPRT,0,100,1.4912019087384432,100,1.4912019087384432
Volume_CPRT,10,100,1.4912019087384432,110,1.6403220996122876
Close_CSGP,0,1183,17.640918580375782,1183,17.640918580375782
Volume_CSGP,8,1183,17.640918580375782,1191,17.760214733074857
Close_COST,0,0,0.0,0,0.0
Volume_COST,0,0,0.0,0,0.0
Close_CSX,0,0,0.0,0,0.0
Volume_CSX,0,0,0.0,0,0.0
Close_DXCM,0,2889,43.08082314345362,2889,43.08082314345362
Volume_DXCM,1,2889,43.08082314345362,2890,43.09573516254101
Close_DLTR,0,344,5.129734566060245,344,5.129734566060245
Volume_DLTR,0,344,5.129734566060245,344,5.129734566060245
Close_EBAY,0,1242,18.520727706531463,1242,18.520727706531463
